band_1_b,band_2_g,band_3_r,band_4_rd,band_5_nir,band_6_lwir,SAVI,NDVI,VARI,ExG,NDRE,Date,class,lon,lat,Source_File,pad,ID,grid_id,gx,gy,folder,B,G,R,RE,NIR
1101,2286,1489,4368,9532,31206,0.440229884531091,0.7297885832579881,0.2980553441411079,0.40648071917154227,0.3715107904911032,Sep,grass,-85.18676547,30.87497176,pad4_grass_gps.csv,pad4,435,gx_18_gy_8,18,8,training,0.033599853515625,0.06976318359375,0.045440673828125,0.13330078125,0.2908935546875
985,2872,1407,6353,15039,30968,0.6228449582574053,0.8288945623761877,0.44474802229098265,0.6367781115376243,0.4060396403653185,Sep,grass,-85.18823352,30.87500144,pad4_grass_gps.csv,pad4,436,gx_3_gy_8,3,8,training,0.030059814453125,0.087646484375,0.042938232421875,0.193878173828125,0.458953857421875
1194,2571,1894,5146,9982,31124,0.42929936255954415,0.6810373844462585,0.2069703433867306,0.36296165190077256,0.3196721304551152,Sep,grass,-85.18718284,30.87469331,pad4_grass_gps.csv,pad4,437,gx_14_gy_7,14,7,training,0.03643798828125,0.078460693359375,0.05780029296875,0.15704345703125,0.30462646484375
1670,3664,2875,8374,16189,30961,0.5633886250716227,0.6983843882246822,0.16204559348738756,0.3390181494568222,0.31816146193764955,Sep,grass,-85.18798528,30.87475077,pad4_grass_gps.csv,pad4,438,gx_6_gy_7,6,7,training,0.05096435546875,0.11181640625,0.087738037109375,0.25555419921875,0.494049072265625
1875,4297,2823,7688,16041,31410,0.5624999994770767,0.7006997443299126,0.2810295501985174,0.4331295148201458,0.3520165193840922,Sep,grass,-85.18665664,30.87492766,pad4_grass_gps.csv,pad4,439,gx_19_gy_8,19,8,training,0.057220458984375,0.131134033203125,0.086151123046875,0.234619140625,0.489532470703125
1066,2964,1338,5263,12692,30864,0.5599723805369509,0.8092658569837474,0.502472182798205,0.6564828573935115,0.41375661300150507,Sep,grass,-85.18756458,30.8746858,pad4_grass_gps.csv,pad4,440,gx_10_gy_7,10,7,training,0.03253173828125,0.0904541015625,0.04083251953125,0.160614013671875,0.3873291015625
874,1996,1347,4073,10108,30993,0.472053593323458,0.7648188542067582,0.2628594537815397,0.4199667977800635,0.42556942289365635,Sep,grass,-85.18701089,30.87484835,pad4_grass_gps.csv,pad4,441,gx_15_gy_7,15,7,training,0.02667236328125,0.0609130859375,0.041107177734375,0.124298095703125,0.3084716796875
1563,3279,3175,7255,12881,31110,0.44879778006454357,0.6045092165042004,0.021263545144803955,0.2270175866984018,0.27940007900499697,Sep,grass,-85.18828664,30.87534864,pad5_grass_gps.csv,pad5,442,gx_3_gy_10,3,10,training,0.047698974609375,0.100067138671875,0.096893310546875,0.221405029296875,0.393096923828125
667,2253,883,5160,12023,30856,0.570501877135739,0.8631644174582231,0.5548805110642671,0.7772810871759277,0.3994063892749957,Sep,grass,-85.18811436,30.87513854,pad5_grass_gps.csv,pad5,443,gx_5_gy_9,5,9,testing,0.020355224609375,0.068756103515625,0.026947021484375,0.157470703125,0.366912841796875
1048,2424,1542,5227,10789,31016,0.48304022232880856,0.749898627477684,0.3022618197722703,0.45033904771505584,0.347277721567208,Sep,grass,-85.18795276,30.87531217,pad5_grass_gps.csv,pad5,444,gx_6_gy_10,6,10,training,0.031982421875,0.073974609375,0.04705810546875,0.159515380859375,0.329254150390625
